comment date,comment
2020-02-29 17:32:59,@di_arturo
2020-02-29 17:32:05,It’s so beautiful ⌚️
2020-02-29 17:27:43,@cocobella286
2020-02-29 17:23:49,Someone show this fool how to hold an SBR 😂
2020-02-29 17:23:01,I thought he said he'd rather piss glass than play that role again....
2020-02-29 17:16:11,Inb4 soyboy numales cry about the gun
2020-02-29 17:13:56,@40oztofreeman
2020-02-29 17:13:52,ساعة لو غضب 😂💙😍😍😍
2020-02-29 17:13:41,🖤
2020-02-29 17:12:59,Adamim🔥🙏
2020-02-29 17:12:10,@severisebastian 😂
2020-02-29 17:07:09,@kevinvanschie
2020-02-29 17:00:43,👏👏👏💕
2020-02-29 16:57:54,But why does he have offset back up irons when his Eotech co-witnesses with his A2???
2020-02-29 16:56:55,👏👏👏❤️❤️❤️🇧🇷⭕⭕7️⃣
2020-02-29 16:55:39,@omega violence is wrong and you should delete this.
2020-02-29 16:55:25,$9200 dollars 😩
2020-02-29 16:52:53,My first real watch was the sea master 007
2020-02-29 16:51:25,Perfect!
2020-02-29 16:48:52,@harshitesh.sri
2020-02-29 16:48:47,Not sure what kind of watch he is wearing but I want one and I’ll take the rest of the fashion accessories as well!
2020-02-29 16:46:38,"Now maybe I’m being picky, but in a tactical situation, doesn’t one turn their watch upside down?"
2020-02-29 16:46:31,Bond 🚀🚀🚀
2020-02-29 16:46:13,Advertising a watch with a gun!.... interesting!!!!!
2020-02-29 16:46:06,@nelsonjames87
2020-02-29 16:45:45,Can't wait for the movie to come out! Sad this will be his last one. He is my favorite of all the Bond guys.
2020-02-29 16:45:10,"Only Bond would wear an $8,000.00 + omega watch to a fire fight and I would expect nothing less."
2020-02-29 16:44:01,🥵🥵
2020-02-29 16:43:45,I need this watch @omega!  Cant afford it though.
2020-02-29 16:40:35,Just PLEASE dont cuck bond
2020-02-29 16:39:42,🔥🔥
2020-02-29 16:39:09,❤️❤️❤️❤️
2020-02-29 16:38:47,That watch looks a lot like a gun
2020-02-29 16:37:53,✔️
2020-02-29 16:36:36,"Je rêve d'être James Bond juste pour avoir la montre, feu mon grand-père en avait une, elle a été perdue et depuis je rêve d'une montre Omega. Malheureusement, trop cher pour moi ! 😭"
2020-02-29 16:34:59,How could anyone just wear such an expensive fine beautiful piece when ur abt to go give & take some serious ass whoopin ??!? Wear Seiko or something :P
2020-02-29 16:33:31,#bondwatch precision and style.
2020-02-29 16:32:08,@searcyeric85 offset flip up irons used with a fixed FSB and an optic that can co-witness 🤔
2020-02-29 16:31:33,James bolon
2020-02-29 16:29:10,👌🏻👌🏻
2020-02-29 16:28:24,Tenemos que ir al cine a verla @eze_noi @leasosa94 @merychiaravieyra
2020-02-29 16:25:49,@porteusedeglace
2020-02-29 16:23:09,That watch isn’t tactical. Lol 😂
2020-02-29 16:22:58,❤️❤️❤️
2020-02-29 16:20:36,🔥🔥🔥
2020-02-29 16:17:57,👍
2020-02-29 16:17:40,"Beautiful, but not for that price."
2020-02-29 16:16:08,Damn🤦🏻‍♂️ It’s so expensive and awesome🤩😟
2020-02-29 16:16:02,@firas.ismail
2020-02-29 16:15:51,@asiatico.priv @juandiegopm_
2020-02-29 16:15:20,"Não é melhor que Rolex,Rolex its better!"
2020-02-29 16:15:02,#omega🇨🇭💎
2020-02-29 16:15:01,Very nice ❤️
2020-02-29 16:14:19,Hope they don't beat his genitals with a sack of rocks in this one. That scene really ruined the Bond movies for me. Like real torture..not funny.
2020-02-29 16:13:42,🙌🔥
2020-02-29 16:12:04,👏👏❤️👏👏
2020-02-29 16:11:41,He wears a sub irl tho hhahaha
2020-02-29 16:11:32,Beautiful craftsmanship
2020-02-29 16:09:42,007
2020-02-29 16:08:58,Man those are sharp.
2020-02-29 16:08:52,The watch is nice but I want the gun.
2020-02-29 16:08:48,The best one !
2020-02-29 16:08:19,🔥🔥🔥
2020-02-29 16:08:11,😎👍
2020-02-29 16:07:50,🙏🏼
2020-02-29 16:07:25,"Wearing the same seater and henley, only missing the watch!! Hoping you can send them to Norway soon 🙏🏻"
2020-02-29 16:06:25,🙌🏼🙌🏼🙌🏼
2020-02-29 16:04:02,"I just hope they didn't soy cuck Bond, Hollywood has been on a mission to destroy all our movies like star trek and star wars with phony ""social justice"" and feminism horseshit. They got that phoebe chick to write the script and inject man hating crap. At least he'll be wearing a nice watch!"
2020-02-29 16:02:55,That SMP is atrocious 🤷🏻‍♂️
2020-02-29 16:01:32,Can’t wait for the film !
2020-02-29 16:01:22,I’m kinda like James Bond. I mean I like to party. 😂
2020-02-29 16:01:08,I♡omega💔
